"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Состав;Weight;Length;Width;Height;"SEO title";"SEO descr";"FB title";"FB descr"
344322543301;;;;;"Юбка 5/520";"Размеры 46-54";Эко-кожа;https://static.tildacdn.com/tild6536-3831-4237-b032-353239333739/5_520.jpg;;;;;;JgeuADIvXEAOg2JNb9Hj;;;0;0;0;0;;;;
576710185121;;5/520;;;"Юбка 5/520 / Синий- Синий";;;https://static.tildacdn.com/tild6536-3831-4237-b032-353239333739/5_520.jpg;13.0000;5;;Цвет:Синий;;fXN8YzGmiPokaOzyjVCI;344322543301;;0;0;0;0;;;;
286956049031;;;;;"Артикул 1973";"Размеры 46-54";;https://static.tildacdn.com/tild6233-3066-4437-a238-303235636438/1973_1.jpg;;;;;;VjLTxRi8ccbD87H1eVLb;;;0;0;0;0;;;;
131276145561;;1973;;;"Артикул 1973 / Белый- Белый";;;https://static.tildacdn.com/tild6233-3066-4437-a238-303235636438/1973_1.jpg;21.0000;4;;Цвет:Белый;;YP74OOHg7yyyHbrU4z4V;286956049031;;0;0;0;0;;;;
880259279931;;;;;"Артикул 1962";"Размеры 52, 54";;https://static.tildacdn.com/tild3638-3364-4037-b464-393062356339/__4566_.jpg;;;;;;7L0KvZ59d5cHnRfuFMsS;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
283078429091;;;;;"Артикул 1954";"Размеры 44-52";;https://static.tildacdn.com/tild6662-6334-4230-a163-393030336262/__4177_.jpg;;;;;;icf0zBHI2F9f910ZUOzh;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
193143043321;;1954;;;"Артикул 1954 / Хаки- Хаки";;;https://static.tildacdn.com/tild6662-6334-4230-a163-393030336262/__4177_.jpg;23.0000;4;;Цвет:Хаки;;cGdEUEp478ylHY1LEG4A;283078429091;;0;0;0;0;;;;
479215155291;;;;;"Блузка-топ 1907";"Размеры 46-56";;https://static.tildacdn.com/tild6661-6663-4232-b964-356565353166/1907_1.jpg;;;;;;dKx3ZyM2gf2zzsg1nf47;;;0;0;0;0;;;;
534715997351;;1907;;;"Блузка-топ 1907 / Пудра- Пудра";;;https://static.tildacdn.com/tild6661-6663-4232-b964-356565353166/1907_1.jpg;11.0000;24;;Цвет:Пудра;;SL18fhNP5NvTGSuRzr3T;479215155291;;0;0;0;0;;;;
486356104621;;;;;"Блузка-топ 1907";"Размеры 46-56";;https://static.tildacdn.com/tild3737-3732-4262-a539-316461386466/1907_3.jpg;;;;;;J1AG5DuoaDuUKivgE8C7;;;0;0;0;0;;;;
355625603451;;1907;;;"Блузка-топ 1907 / Белый- Белый";;;https://static.tildacdn.com/tild3737-3732-4262-a539-316461386466/1907_3.jpg;11.0000;24;;Цвет:Белый;;u5k41jT1AjnxXhRTIMES;486356104621;;0;0;0;0;;;;
717429224441;;;;;"Блузка-топ 1907";"Размеры 46-56";;https://static.tildacdn.com/tild6163-3732-4438-a235-353961323634/1907_5.jpg;;;;;;ZMnbG8bmM2sRDiU0FLKt;;;0;0;0;0;;;;
924136203021;;1907;;;"Блузка-топ 1907 / Светлый беж- Светлый беж";;;https://static.tildacdn.com/tild6163-3732-4438-a235-353961323634/1907_5.jpg;11.0000;24;;"Цвет:Светлый беж";;OSiBYksbnnyZ9UHI1et1;717429224441;;0;0;0;0;;;;
260586857891;;;;;"Блузка-топ 1907";"Размеры 46-56";;https://static.tildacdn.com/tild3337-3530-4435-b432-383064623236/1907_9.jpg;;;;;;FR5OrpGAmadIV0XtVIM7;;;0;0;0;0;;;;
219365446331;;1907;;;"Блузка-топ 1907 / Черный- Черный";;;https://static.tildacdn.com/tild3337-3530-4435-b432-383064623236/1907_9.jpg;11.0000;24;;Цвет:Черный;;AtmD9kylVynm8tLHbdmL;260586857891;;0;0;0;0;;;;
